county_name,crop,target_season_start_year,recent_yield_mean_t_ha,dry_hot_temperature_c,dry_hot_precipitation_mm,dry_hot_yield_t_ha,expected_temperature_c,expected_precipitation_mm,expected_yield_t_ha,wet_cool_temperature_c,wet_cool_precipitation_mm,wet_cool_yield_t_ha,scenario_spread_t_ha,warning_count,warnings
Tolna,barley,2026,6.086,12.349,500.76,5.971,12.1,553.3,6.083,11.548,672.38,5.796,0.287,1,dry_hot_yield_above_wet_cool
Tolna,maize,2027,6.078,17.358,354.83,5.263,17.1,414.48,5.601,16.653,471.85,7.788,2.525,0,
Vas,wheat,2026,6.248,11.565,521.63,6.07,11.251,605.18,6.358,10.802,694.37,6.351,0.288,0,
Vas,barley,2026,5.692,11.565,521.63,5.789,11.251,605.18,5.95,10.802,694.37,5.987,0.198,0,
Vas,maize,2027,7.56,16.364,459.1,7.991,16.049,516.71,8.295,15.67,577.6,7.972,0.323,1,dry_hot_yield_above_wet_cool
Veszprém,wheat,2026,5.062,11.705,484.01,5.243,11.41,592.57,5.207,10.881,698.32,5.553,0.346,0,
Veszprém,barley,2026,4.98,11.705,484.01,5.229,11.41,592.57,5.165,10.881,698.32,5.515,0.35,0,
Veszprém,maize,2027,5.878,16.54,398.93,4.979,16.256,478.37,7.196,15.834,541.91,7.056,2.217,0,
Zala,wheat,2026,6.15,11.726,529.05,5.988,11.446,656.21,5.873,10.953,771.25,6.109,0.236,0,
Zala,barley,2026,5.86,11.726,529.05,5.793,11.446,656.21,5.635,10.953,771.25,5.871,0.236,0,
Zala,maize,2027,7.642,16.506,460.5,7.602,16.202,530.69,8.707,15.827,608.47,8.342,1.105,0,
